[12:38:03.594] [INFO   ] thread main starting.
[12:38:03.601] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:38:03.607] [SEVERE ] configuration file was loaded from resources directory.
[12:38:14.966] [SEVERE ] key 81 was pressed by player 1
[12:38:16.633] [SEVERE ] key 87 was pressed by player 1
[12:38:17.962] [SEVERE ] key 81 was pressed by player 1
[12:38:18.392] [SEVERE ] key 69 was pressed by player 1
[12:38:19.297] [SEVERE ] key 81 was pressed by player 1
[12:38:19.506] [SEVERE ] key 87 was pressed by player 1
[12:38:19.673] [SEVERE ] key 69 was pressed by player 1
[12:38:20.224] [SEVERE ] key 82 was pressed by player 1
[12:38:20.458] [SEVERE ] key 65 was pressed by player 1
[12:38:20.611] [SEVERE ] key 83 was pressed by player 1
[12:38:20.712] [SEVERE ] key 68 was pressed by player 1
[12:38:20.938] [SEVERE ] key 70 was pressed by player 1
[12:38:21.084] [SEVERE ] key 65 was pressed by player 1
[12:38:21.199] [SEVERE ] key 83 was pressed by player 1
[12:38:21.287] [SEVERE ] key 68 was pressed by player 1
[12:38:21.431] [SEVERE ] key 65 was pressed by player 1
[12:38:21.567] [SEVERE ] key 68 was pressed by player 1
[12:38:21.748] [SEVERE ] key 65 was pressed by player 1
[12:38:21.863] [SEVERE ] key 70 was pressed by player 1
[12:38:22.000] [SEVERE ] key 81 was pressed by player 1
[12:38:22.158] [SEVERE ] key 87 was pressed by player 1
[12:38:22.285] [SEVERE ] key 69 was pressed by player 1
[12:38:22.418] [SEVERE ] key 81 was pressed by player 1
[12:38:22.546] [SEVERE ] key 69 was pressed by player 1
[12:38:22.674] [SEVERE ] key 81 was pressed by player 1
[12:38:22.755] [SEVERE ] key 82 was pressed by player 1
[12:38:23.801] [SEVERE ] key 90 was pressed by player 1
[12:38:23.971] [SEVERE ] key 88 was pressed by player 1
[12:38:24.046] [SEVERE ] key 67 was pressed by player 1
[12:38:24.280] [SEVERE ] key 86 was pressed by player 1
[12:38:24.530] [SEVERE ] key 90 was pressed by player 1
[12:38:24.678] [SEVERE ] key 88 was pressed by player 1
[12:38:24.752] [SEVERE ] key 67 was pressed by player 1
[12:38:24.843] [SEVERE ] key 86 was pressed by player 1
[12:38:25.001] [SEVERE ] key 90 was pressed by player 1
[12:38:25.107] [SEVERE ] key 88 was pressed by player 1
[12:38:25.153] [SEVERE ] key 67 was pressed by player 1
[12:38:25.212] [SEVERE ] key 86 was pressed by player 1
[12:38:25.451] [SEVERE ] key 65 was pressed by player 1
[12:38:25.541] [SEVERE ] key 83 was pressed by player 1
[12:38:25.588] [SEVERE ] key 68 was pressed by player 1
[12:38:25.675] [SEVERE ] key 70 was pressed by player 1
[12:38:25.971] [SEVERE ] key 81 was pressed by player 1
[12:38:26.063] [SEVERE ] key 87 was pressed by player 1
[12:38:26.096] [SEVERE ] key 69 was pressed by player 1
[12:38:26.155] [SEVERE ] key 82 was pressed by player 1
[12:38:26.490] [SEVERE ] key 65 was pressed by player 1
[12:38:26.567] [SEVERE ] key 83 was pressed by player 1
[12:38:26.593] [SEVERE ] key 68 was pressed by player 1
[12:38:26.687] [SEVERE ] key 70 was pressed by player 1
[12:38:26.973] [SEVERE ] key 81 was pressed by player 1
[12:38:27.114] [SEVERE ] key 69 was pressed by player 1
[12:38:27.136] [SEVERE ] key 87 was pressed by player 1
[12:38:27.256] [SEVERE ] key 82 was pressed by player 1
[12:38:27.762] [SEVERE ] key 90 was pressed by player 1
[12:38:27.865] [SEVERE ] key 88 was pressed by player 1
[12:38:27.884] [SEVERE ] key 67 was pressed by player 1
[12:38:27.974] [SEVERE ] key 86 was pressed by player 1
[12:38:28.216] [SEVERE ] key 81 was pressed by player 1
[12:38:28.387] [SEVERE ] key 87 was pressed by player 1
[12:38:28.405] [SEVERE ] key 69 was pressed by player 1
[12:38:28.481] [SEVERE ] key 82 was pressed by player 1
[12:38:28.658] [SEVERE ] key 81 was pressed by player 1
[12:38:28.708] [SEVERE ] key 87 was pressed by player 1
[12:38:28.736] [SEVERE ] key 69 was pressed by player 1
[12:38:28.788] [SEVERE ] key 82 was pressed by player 1
[12:38:28.940] [SEVERE ] key 81 was pressed by player 1
[12:38:28.979] [SEVERE ] key 69 was pressed by player 1
[12:38:28.994] [SEVERE ] key 87 was pressed by player 1
[12:38:29.051] [SEVERE ] key 82 was pressed by player 1
[12:38:29.233] [SEVERE ] key 81 was pressed by player 1
[12:38:29.324] [SEVERE ] key 87 was pressed by player 1
[12:38:29.341] [SEVERE ] key 69 was pressed by player 1
[12:38:29.368] [SEVERE ] key 82 was pressed by player 1
[12:38:29.540] [SEVERE ] key 81 was pressed by player 1
[12:38:29.599] [SEVERE ] key 87 was pressed by player 1
[12:38:29.628] [SEVERE ] key 69 was pressed by player 1
[12:38:29.721] [SEVERE ] key 82 was pressed by player 1
[12:38:29.832] [SEVERE ] key 81 was pressed by player 1
[12:38:29.932] [SEVERE ] key 82 was pressed by player 1
[12:38:29.935] [SEVERE ] key 69 was pressed by player 1
[12:38:33.648] [SEVERE ] key 75 was pressed by player 2
[12:38:33.847] [SEVERE ] key 75 was pressed by player 2
[12:38:37.093] [SEVERE ] exit button pressed
